,2016,2017,2018,2019
Supreme_Judicial_Court Payroll Costs,422848.74805062567,409366.0600478679,456149.05625441816,501089.5021254717
Supreme_Judicial_Court Non-Payroll Operating Costs,1054700.3240054096,1059419.836532864,1167231.7700872822,1432561.4096776005
Supreme_Judicial_Court Pension Costs,106569.7844505424,107744.15246858144,111576.26563236487,122940.14037832081
Supreme_Judicial_Court Fringe Benefit Costs,167039.56761722852,160538.4948725898,166532.60448247602,176290.4246434706
Supreme_Judicial_Court Capital Costs,31819.796345158335,7910.530592075387,8929.08358680511,0.0
Appeals_Court Payroll Costs,902663.6087566746,824097.1513502421,889859.5398260778,846767.5830121957
Appeals_Court Non-Payroll Operating Costs,58805.25195069705,35621.12436006871,48738.05790900005,41555.07437760641
Appeals_Court Pension Costs,229270.8956922996,236354.8240027525,259699.5732907341,251630.57244379524
Appeals_Court Fringe Benefit Costs,356456.35184378375,323426.7657129902,324893.18180558755,297698.6835411196
Appeals_Court Capital Costs,0.0,0.0,0.0,0.0
Boston PD Payroll Costs,373362553.8000001,389932425.4399997,403980309.8550011,416204303.37000084
Boston PD Non-Payroll Operating Costs,31979757.929409146,37201468.16696066,46850723.19279373,48652531.01405519
Boston PD Pension Costs,58118216.01523996,61540572.75021261,74642023.60183886,86716725.00843908
Boston PD Fringe Benefit Costs,41008258.01645781,45976150.94434311,48907149.41793438,50663086.687320605
Boston PD Capital Costs,5441996.0,7909564.0,18625711.0,8502943.0
Chelsea PD Payroll Costs,9685922.0,12165124.099999912,12770764.809999686,14734808.949999768
Chelsea PD Non-Payroll Operating Costs,1050166.0,701295.76,710475.69,639385.29
Chelsea PD Pension Costs,1492269.514699613,1584732.390709209,1667073.2300727435,1968070.244652509
Chelsea PD Fringe Benefit Costs,1006639.6980423306,1193186.200853666,1128745.7279050509,1210009.8834822369
Chelsea PD Capital Costs,173000.0,164000.0,161438.91,0.0
Revere PD Payroll Costs,9047062.0,9083601.0,9357467.0,9735336.0
Revere PD Non-Payroll Operating Costs,1064650.0,1012450.0,979764.0,983764.0
Revere PD Pension Costs,3491214.1040855413,3713579.673283477,3877992.8743776144,4042707.2019558684
Revere PD Fringe Benefit Costs,5946834.922763249,6015305.43260267,6096194.852759638,6801382.032920311
Revere PD Capital Costs,718325.1181370715,702314.2487821181,601210.5292645965,0.0
Winthrop PD Payroll Costs,2842909.0,2927191.0,3066911.0,3803402.0
Winthrop PD Non-Payroll Operating Costs,194777.0,185439.0,224594.0,233533.0
Winthrop PD Pension Costs,912028.7824529695,702707.0808752993,745260.9162790339,748358.573198602
Winthrop PD Fringe Benefit Costs,794997.427431731,1188270.590503881,1108502.5134250815,1116049.007845001
Winthrop PD Capital Costs,0.0,39393.0,40000.0,0.0
